"date","close","volume","open","high","low"

"2019/06/28","27.5200","1580063.0000","28.0800","28.3900","27.5200"
"2019/06/27","27.8400","452794.0000","26.5100","27.8800","26.5100"
"2019/06/26","26.2900","270552.0000","26.2900","26.4300","25.8500"
"2019/06/25","26.1100","311966.0000","26.6300","26.7700","26.0900"
"2019/06/24","26.6400","287806.0000","27.1400","27.2800","26.6400"
"2019/06/21","27.1900","731476.0000","27.2000","27.5500","27.0700"
"2019/06/20","27.2000","267443.0000","27.0300","27.4200","26.9300"
"2019/06/19","26.7700","355706.0000","27.1000","27.3150","26.6100"
"2019/06/18","27.0200","455791.0000","26.3800","27.0900","26.3800"
"2019/06/17","26.2800","426436.0000","26.2900","26.5600","26.1200"
"2019/06/14","26.2400","312212.0000","26.0400","26.3600","25.9200"
"2019/06/13","26.0000","357261.0000","25.9200","26.2000","25.7450"
"2019/06/12","25.7500","284789.0000","25.4500","25.9100","25.2801"
"2019/06/11","25.3300","551643.0000","25.7400","26.0400","25.2600"
"2019/06/10","25.6900","195082.0000","25.8200","26.2600","25.6300"
"2019/06/07","25.5300","456366.0000","25.4200","25.8700","25.3100"
"2019/06/06","25.4300","376895.0000","25.2700","25.4700","24.8600"
"2019/06/05","25.2900","561715.0000","24.6900","25.3100","24.4700"
"2019/06/04","24.6600","310567.0000","24.0000","24.7200","23.9500"
"2019/06/03","23.6600","464175.0000","23.6300","23.8800","23.4000"
"2019/05/31","23.6500","467769.0000","24.1200","24.1900","23.5700"
"2019/05/30","24.4600","425254.0000","24.7700","25.0200","24.3700"
"2019/05/29","24.6300","714395.0000","24.7300","24.7800","24.2100"
"2019/05/28","24.9500","437458.0000","25.2000","25.4900","24.9300"
"2019/05/24","25.2000","386469.0000","25.3100","25.3300","25.0200"
"2019/05/23","25.0700","283809.0000","25.2700","25.3100","24.8300"
"2019/05/22","25.6100","622375.0000","25.5200","26.0400","25.5200"
"2019/05/21","25.6400","440640.0000","25.2500","25.7000","25.2300"
"2019/05/20","24.9800","395139.0000","24.7000","25.0650","24.5500"
"2019/05/17","24.8900","358237.0000","25.1800","25.3800","24.8900"
"2019/05/16","25.4300","700836.0000","24.9200","25.6800","24.8700"
"2019/05/15","25.3500","1123527.0000","25.2100","25.4600","24.9900"
"2019/05/14","25.4300","672650.0000","25.5500","25.6800","25.3200"
"2019/05/13","25.3900","486372.0000","26.1800","26.2300","25.2900"
"2019/05/10","26.6800","428267.0000","26.8900","27.2650","26.2400"
"2019/05/09","27.0300","599627.0000","27.2200","27.2500","26.5000"
"2019/05/08","27.4200","344727.0000","27.4800","27.7400","27.3800"
"2019/05/07","27.5600","694361.0000","27.8600","28.2000","27.4350"
"2019/05/06","28.0400","420440.0000","27.9300","28.1450","27.7100"
"2019/05/03","28.4500","274950.0000","27.9900","28.5600","27.8600"
"2019/05/02","27.8100","466205.0000","28.3200","28.4500","27.4200"
"2019/05/01","28.3500","700613.0000","28.0200","28.7150","27.5143"
"2019/04/30","28.3400","1247010.0000","28.7600","28.8400","28.2300"
"2019/04/29","28.7000","287207.0000","28.9600","29.2100","28.6400"
"2019/04/26","28.8500","373497.0000","28.8600","29.1600","28.6700"
"2019/04/25","28.9400","577111.0000","29.3000","29.5000","28.6400"
"2019/04/24","29.3000","341712.0000","29.3400","29.7200","29.2700"
"2019/04/23","29.4400","574288.0000","28.3600","29.5100","28.3300"
"2019/04/22","28.1800","759122.0000","28.6900","28.8200","28.0900"
"2019/04/18","28.6300","358190.0000","28.6900","28.8800","28.4500"
"2019/04/17","28.7500","580253.0000","29.1400","29.3800","28.6700"
"2019/04/16","28.9600","454287.0000","28.3000","29.1000","28.3000"
"2019/04/15","28.1000","335792.0000","28.5600","28.8000","27.8500"
"2019/04/12","27.9700","370139.0000","27.8700","28.1700","27.7800"
"2019/04/11","27.5600","363627.0000","27.7000","28.0800","27.5100"
"2019/04/10","27.6100","692435.0000","26.9800","27.7000","26.8300"
"2019/04/09","26.7500","430475.0000","26.9000","26.9400","26.6300"
"2019/04/08","26.9000","399577.0000","26.6400","26.9600","26.4200"
"2019/04/05","26.5400","729473.0000","25.8500","26.6600","25.8300"
"2019/04/04","25.7400","1024718.0000","26.1000","26.1000","25.5000"
"2019/04/03","26.0500","454697.0000","25.9500","26.0900","25.7600"
"2019/04/02","25.7600","273138.0000","26.0000","26.0600","25.7100"
